TRADER,n_trades,avg_from_amount,avg_to_amount,cluster
osmo103hugyzjz5q8854t0sva0c4twdt6smv5crz0qw,1,100.0,6.0,0.0
osmo103jdml8095w5xjhkgd0d2zr0tmrm6vpqw85acr,1,46904045.0,171573.0,0.0
osmo103l025fw2x7d8k8px7d07vu667x0h5p5yjr8ge,2,7491174.5,24561400.0,0.0
osmo103mhpmd44d4kle8qwdv79lnkxgghvnrv6erpgk,1,8000000.0,530828.0,0.0
osmo103n2fyjdal748esfkxft6aepecdmzp0r3j55r8,24,98861344.45833333,15102587.333333334,0.0
osmo103nkz0hgnpwmjveafmr57xwmvlluuj4sm5nll0,7,3.086714285720131e+18,5.091921519457649e+17,0.0
osmo103pdkgneznyea43vtth9r6uwdj5w46zvhljhkd,1,100.0,6.0,0.0
osmo103q8qurph4mylv3znzcmpl396a06cplftck7n5,12,1640084.3333333333,1007333.0,0.0
osmo103t0g6naysddfjrsvrelg9ttkecg4kw560u0jq,1,100.0,6.0,0.0
osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2,5,1.1998000000000486e+18,334674200.2,0.0
osmo103xelx7qd5wcp3msc0zj8l8lpje2ee9rs97hwv,1,100.0,6.0,0.0
osmo103yjfer0upth5fjzphagme8qa85lys0cujn8qv,1,100.0,6.0,0.0
osmo103z2m9arhmr3294uvv9a0vy9ce7yl0xlw824y7,9,110496055.8888889,32033587.444444444,0.0
osmo103zzx7ltwxvg0w6l2rwfstuqk9gtvjmpgxjqf2,1,20000000.0,46520721.0,0.0
osmo1042c68ek7vda2ds5rknrx98j7acr0udxrjdcxf,4,16405684.5,1215589.25,0.0
osmo1042zdhk96tggc3q0eakj6ngxfae6dm98u5axpv,77,1212981966.857143,1636731589.7012987,0.0
osmo10437ahg5vjyyg6vzkxu0td3xwxumfmr9jrv59y,72,1420532791.4444444,1651535245.4305556,0.0
osmo1044tqcqqw0kuf8yp36nxz46q9wn7asunaawayd,1,800000.0,53200.0,0.0
osmo1045xeaq3x4ravl3pmvgglkug5thttrqc0er7h9,1,100.0,6.0,0.0
osmo1047wfgze8r0kh9yzakfqdfrqe887qzu9pdvz84,1,100.0,6.0,0.0
osmo1048rq5zekzl96yxnzk9ad4q9ueg5k4caue32fp,1,100.0,6.0,0.0
osmo104algnpncvwvsrm24ds2v2uk34gepg07qj3jkn,9,4.1444444448275195e+18,472421.22222222225,0.0
osmo104apxm2k2k2s5evlkclkpfzmd89vu3f3xvfylf,3,6.2571378639644696e+16,1674603.3333333333,0.0
osmo104armjlxs72vacdqmef4dv44c3meerzhdm5fs6,1,34000000.0,80299874.0,0.0
osmo104ez0uk7fvwrz379pumwfdp4kw3gzjcwmcwje0,1,100.0,6.0,0.0
osmo104fnxj85dtrnlwmtmavx66y3c83zscl9vjgvwp,1,100.0,6.0,0.0
osmo104g8u70dj0hdt7dvejhum5rhk55kgmc5zt7y94,3,1667333333.3333333,161506362.66666666,0.0
osmo104gwlgmmmlhuyjxm63yanz47mypqgdmuar0h4h,1,100.0,6.0,0.0
osmo104jtrwcljnxfljhml8mxrw7qetcsdmqvy3sprw,3,1000000.0,4.8873001726058003e+17,0.0
osmo104kn29hzrtyuh66qpt9yl4gts74n9hjpm9qkuu,1,100.0,6.0,0.0
osmo104la2yl7wplyg08kwvh6vxrrky07ju7ma608gj,2,324614.5,15098682.5,0.0
osmo104ml4jx29hekvx8nksmt8ztjyuyhs3grgq45xv,1,100.0,6.0,0.0
osmo104mlhyu7gm4mtp5qchvgjc4s9af0d4hkx2d5a2,7,1.0700000000002185e+19,2388291.5714285714,0.0
osmo104mym7la7kar069m4mpullxkmwctxexnxnkjku,1,9700000.0,17724847.0,0.0
osmo104nt75cdzdtm5zls9cftp39ju8ctmld04k94qv,1,3446000.0,51855020.0,0.0
osmo104p3lwm9cwergjnhr0fhtyy997xcf740xaqsnj,1,100.0,6.0,0.0
osmo104t0qtgstctpsw8g0e6pjpn3seztnwly8mzeec,3,10766666.666666666,1622481.0,0.0
osmo104tx64evn5j38qzjesn46834fe7gdp6j3rngxf,2,2261497.0,31077154.5,0.0
osmo104tyvxgfcg5d608388fm72mcxvkru9m39pk5ac,1,100.0,6.0,0.0
osmo104udjk6qr8kl6wzfapc8c5ewqgajlajaec97uu,1,100.0,6.0,0.0
osmo104w57qyqfz0ycr0a5yjs3sehhxrg4drtf2lfgk,1,32000000.0,2133963.0,0.0
osmo104xuzvkx2gvk8r0asvah0uxy6r33hjlvpk4avn,6,1.605890250446173e+17,1.5826246510281402e+19,0.0
osmo1052ffcvxnmagsvv9gen2qsyy6u66pfwysd8p75,1,5230000.0,676137.0,0.0
osmo1052kpf8xyzrrxtvmfe4668mfj8pztauxxzpck5,41,6.265829031036076e+16,2.2200401735887296e+16,0.0
osmo1054u2kzna4tuslum9r8xw93c6k4sjwtvuhd7ms,3,2.237553964687049e+18,6.73427009628129e+18,0.0
osmo1054xj3cnnvdu7sgmzl80zapvwvzaq2qxngv36q,2,40024249.0,25665285.0,0.0
osmo1055rfv3fv0zxsp8h3x88mctnm7x9mlgmpwg9mg,1,6150000.0,100787440.0,0.0
osmo1056mqz7780jyum2nrc2qemqkqx22gf4aqus67k,5,583792866.2,48276918.4,0.0
osmo1057xrjpae5pk8xqjywjjr20z8r6f8a8ser7gts,2,66208437.0,53346621.5,0.0
osmo1058vd00nlclsthz4pxkgszq6md6cdt6q0jfll3,2,1058226.5,9971648441.5,0.0
osmo105ccpl3pkkpqx3zmheerp52k8tahs9klt2lnyv,1,2000000.0,16526160.0,0.0
