profileid,follower_count,post_count,comment_count,mirror_count
74299,122,7,1,1
14021,122,6,17,11
56861,122,6,3,19
78001,122,5,1,4
1726,122,1,1,1
35235,122,1,1,1
92646,121,1205,12,46
96199,121,595,3,2
18033,121,197,13,11
16874,121,150,13,46
17704,121,143,10,13
6159,121,101,11,31
4369,121,94,8,2
4812,121,88,5,11
91713,121,87,4,3
16036,121,85,122,1
88739,121,81,4,10
103459,121,79,2,6
75497,121,76,6,28
14310,121,74,75,2
67750,121,72,1,1
20887,121,72,1,1
47119,121,68,1,8
25514,121,65,67,2
35100,121,65,1,13
14391,121,63,68,2
3649,121,60,5,6
60709,121,60,1,2
3870,121,59,3,4
41881,121,55,33,2
41937,121,55,32,2
95935,121,55,5,8
54014,121,55,2,12
28738,121,52,2,14
16730,121,51,2,1
60008,121,50,1,6
27979,121,48,10,12
79740,121,44,1,3
71299,121,43,13,19
93435,121,38,1,3
80167,121,37,3,10
100903,121,35,1,54
27752,121,30,9,36
16286,121,27,9,4
60494,121,27,4,4
6258,121,21,11,17
46090,121,21,2,1
104421,121,21,1,4
30523,121,20,28,49
36982,121,19,3,3
62930,121,18,2,5
58015,121,18,1,1
87767,121,14,4,200
72137,121,14,1,5
54806,121,13,1,7
40480,121,12,16,6
4041,121,12,1,4
11960,121,11,7,58
505,121,9,8,2
22262,121,9,4,1
25834,121,9,2,2
45597,121,9,1,2
48748,121,8,4,9
1876,121,8,3,16
41081,121,5,5,5
18339,121,4,3,40
68664,121,2,4,5
88846,120,424,51,115
6756,120,209,6,7
92438,120,187,7,5
9616,120,180,1,50
70466,120,161,5,21
58282,120,155,11,13
15967,120,149,8,8
20976,120,139,8,39
40392,120,111,2,2
65268,120,102,12,7
68834,120,100,5,11
82,120,95,14,13
82393,120,75,1,153
100499,120,74,2,2
4775,120,70,7,19
98103,120,69,3,6
1219,120,68,2,9
15141,120,68,1,18
17867,120,63,6,107
59413,120,60,3,4
93546,120,57,3,11
41958,120,56,31,2
708,120,56,7,5
62148,120,55,1,6
20917,120,52,42,49
1508,120,51,5,4
63389,120,47,1,4
72373,120,44,7,4
28975,120,44,5,19
28413,120,44,3,4
79909,120,43,7,35
73116,120,43,1,1
70708,120,42,14,38
67517,120,41,5,12
95400,120,41,3,7
48511,120,41,2,3
28806,120,40,5,23
111239,120,40,4,7
83309,120,40,3,1
87799,120,40,1,3
113022,120,39,1,1
92086,120,38,6,65
88217,120,38,5,105
101225,120,37,1,2
54044,120,36,2,2
73565,120,35,3,6
28491,120,34,1,3
49949,120,33,3,21
52973,120,32,7,72
52975,120,28,20,73
76226,120,28,1,3
15020,120,26,4,5
12226,120,25,6,38
59085,120,25,4,9
66163,120,25,1,9
27670,120,24,5,9
46488,120,22,3,17
46728,120,21,8,6
93488,120,20,87,72
36906,120,20,47,25
44904,120,18,4,14
11039,120,13,11,3
11214,120,13,2,7
30107,120,11,2,9
53449,120,9,3,5
32886,120,8,2,6
56438,120,7,1,4
25304,120,6,9,313
27225,120,5,3,2
6769,119,505,3,15
18762,119,333,3,12
91440,119,322,10,10
85129,119,264,3,3
307,119,196,4,4
796,119,170,7,14
108995,119,155,6,122
303,119,150,19,35
24333,119,138,4,2
49206,119,127,11,1
795,119,100,13,36
65136,119,100,2,1
53706,119,98,3,2
26549,119,98,3,1
13898,119,95,7,4
47695,119,94,3,5
27543,119,92,6,17
1848,119,91,1,5
60118,119,88,2,9
48389,119,84,2,1
40217,119,82,2,16
27812,119,79,3,3
17717,119,78,10,7
34778,119,76,13,1
1064,119,71,8,4
30820,119,65,66,2
79876,119,62,6,63
5301,119,62,4,2
85338,119,61,2,48
21190,119,58,27,12
41945,119,56,30,2
70680,119,56,1,1
41934,119,55,33,2
41914,119,55,32,2
41764,119,55,31,2
25430,119,54,65,73
82345,119,54,57,52
8737,119,47,31,38
25974,119,44,1,10
105022,119,42,4,10
33047,119,42,1,7
54567,119,35,32,43
12247,119,34,6,10
14576,119,32,11,26
73094,119,29,16,29
74142,119,29,3,14
67222,119,29,2,4
29373,119,27,4,1
91830,119,26,4,8
78949,119,26,1,4
107459,119,25,1,1
11750,119,23,3,7
109193,119,22,1,9
67676,119,21,1,12
15180,119,20,3,15
33763,119,19,17,19
58114,119,18,10,41
19259,119,18,3,2
28271,119,17,7,103
99289,119,16,2,37
8827,119,14,1,2
66468,119,14,1,1
9475,119,13,8,5
6974,119,10,17,9
44007,119,10,3,11
75460,119,9,1,10
28793,119,9,1,1
15627,119,7,3,6
114467,119,6,2,2
27222,119,4,3,2
63484,119,1,2,5
62015,118,776,1,3
69810,118,445,4,47
105894,118,415,2,3
39317,118,377,1,11
29912,118,337,4,1
80938,118,244,3,6
45604,118,240,5,104
39495,118,132,1,3
23222,118,120,1,1
5355,118,101,13,8
72910,118,87,1,4
2872,118,82,7,2
19625,118,80,5,12
1979,118,73,39,55
2681,118,66,69,4
50059,118,65,5,13
5789,118,64,65,2
73157,118,62,2,1
48928,118,61,1,23
63073,118,60,4,7
21694,118,58,97,186
68105,118,57,1,5
41851,118,54,33,2
49782,118,54,31,2
3163,118,53,11,3
94944,118,52,20,32
8256,118,48,6,18
8220,118,46,15,15
28985,118,46,6,20
70124,118,44,4,4
72052,118,44,1,1
73344,118,43,1,1
13625,118,41,27,12
79988,118,38,10,48
50451,118,37,10,24
50716,118,37,9,41
5382,118,37,6,7
39718,118,37,3,4
94055,118,36,2,16
55158,118,36,1,2
19172,118,35,15,28
9335,118,34,15,20
89181,118,32,2,13
72450,118,31,7,5
33334,118,30,44,20
2570,118,30,14,17
9270,118,30,3,1
36116,118,28,1,6
1470,118,27,2,10
71117,118,26,2,8
14838,118,24,1,7
23874,118,24,1,6
70377,118,21,8,16
26353,118,21,3,2
68557,118,18,2,7
1832,118,14,1,2
25697,118,13,27,14
9864,118,13,2,3
4589,118,11,6,3
8090,118,10,12,3
27535,118,10,3,17
31061,118,10,2,23
14913,118,8,3,6
91721,118,8,1,12
7286,118,6,5,4
103435,118,6,1,2
27224,118,5,3,2
56851,118,5,2,2
50619,118,2,1,1
38195,118,1,1,18
74385,117,543,4,3
48698,117,299,1,1
25511,117,188,19,4
44436,117,176,11,93
23208,117,172,1,1
47488,117,157,1,30
59752,117,147,3,12
25738,117,138,11,8
29733,117,136,14,6
39111,117,136,8,19
20864,117,129,10,34
25420,117,129,1,5
57688,117,123,1,1
4607,117,121,3,2
84554,117,104,17,24
66971,117,100,5,9
83245,117,97,4,106
67819,117,93,2,8
55774,117,92,1,2
53303,117,90,4,8
31608,117,89,17,10
4826,117,87,8,8
29429,117,83,4,1
58021,117,81,9,21
1007,117,81,9,4
3424,117,78,8,16
66662,117,74,7,3
28536,117,74,6,1
1967,117,71,5,4
9580,117,70,11,18
2445,117,65,64,2
21680,117,64,103,190
93711,117,63,4,2
40815,117,62,1,2
41753,117,55,31,2
49748,117,55,31,2
85436,117,54,55,87
84470,117,54,2,29
97006,117,51,5,74
86692,117,50,3,6
21153,117,50,2,7
81227,117,49,1,7
14569,117,47,13,12
8248,117,47,11,30
76832,117,46,2,1
68140,117,43,4,5
6318,117,43,1,6
93502,117,41,1,8
40177,117,41,1,1
26116,117,40,4,12
1652,117,39,7,9
45197,117,38,14,47
81088,117,38,12,50
1895,117,38,8,25
16415,117,37,18,26
74370,117,34,1,2
27587,117,32,8,22
94738,117,31,6,21
48657,117,30,1,12
40096,117,29,1,1
75154,117,28,6,7
61815,117,26,3,5
10861,117,25,16,55
16326,117,24,8,8
112780,117,19,2,12
42172,117,17,1,16
25118,117,15,3,17
9562,117,15,2,3
1614,117,14,6,10
63956,117,13,11,4
1922,117,10,7,12
49012,117,10,1,16
69357,117,8,13,20
104141,117,8,2,23
16539,117,6,9,7
21537,117,5,4,5
70309,117,5,2,1
42101,117,4,10,16
67477,117,3,1,1
9936,117,1,2,2
101003,116,767,4,29
66750,116,424,14,39
16021,116,380,29,31
27329,116,348,6,35
4611,116,324,10,81
64586,116,160,2,7
80012,116,132,4,5
39107,116,109,7,19
2040,116,105,2,6
65917,116,101,3,5
1882,116,94,12,2
20854,116,84,18,37
54102,116,83,8,9
11636,116,82,2,13
64396,116,71,8,11
27330,116,71,6,25
20088,116,71,4,2
48448,116,68,49,42
19793,116,66,8,7
21703,116,64,93,187
2172,116,61,1,1
75404,116,59,1,11
741,116,57,2,5
41778,116,55,31,2
20310,116,47,7,12
91720,116,47,4,1
80851,116,46,16,22
81979,116,44,5,16
16119,116,44,5,6
105019,116,44,1,3
113399,116,43,12,59
52969,116,43,8,9
5284,116,37,12,3
103989,116,37,4,9
39512,116,36,8,9
25778,116,31,6,11
3173,116,30,4,1
49081,116,30,3,17
78363,116,29,1,16
85925,116,27,4,1
63648,116,26,5,96
98304,116,26,1,8
82301,116,22,30,81
95319,116,22,2,14
82821,116,21,11,33
64000,116,21,8,27
50696,116,21,2,22
110123,116,16,1,7
25994,116,15,10,33
1853,116,15,5,1
70675,116,15,2,2
67182,116,14,4,5
566,116,12,10,1
29238,116,12,2,12
55972,116,11,8,6
64320,116,10,7,9
73815,116,10,4,6
44589,116,10,1,2
93698,116,6,1,2
1794,116,5,6,4
24849,116,4,7,11
73146,116,2,1,6
42055,116,1,1,5
39685,115,475,2,1
98282,115,166,4,16
5522,115,163,1,2
14471,115,146,11,62
72605,115,138,17,24
76123,115,134,2,3
85315,115,104,19,27
57486,115,96,3,3
58745,115,95,3,2
24086,115,87,61,117
500,115,86,8,5
53137,115,83,3,1
15731,115,81,3,7
14425,115,80,22,7
7321,115,76,4,12
2468,115,75,17,9
33908,115,67,67,2
19762,115,65,67,2
2740,115,64,66,2
410,115,61,6,4
86698,115,58,9,14
26026,115,57,10,19
63003,115,56,2,5
41819,115,55,31,2
41853,115,54,33,2
107586,115,52,53,97
95918,115,51,4,1
80852,115,49,16,20
80018,115,49,4,56
103480,115,46,6,24
12782,115,45,22,49
28974,115,45,5,20
63665,115,44,3,2
70620,115,41,13,45
1522,115,39,4,8
69593,115,37,2,4
54975,115,35,1,1
81554,115,34,11,67
42870,115,33,3,2
89303,115,33,2,2
90298,115,31,19,11
7269,115,31,7,4
23695,115,31,1,6
25708,115,30,4,2
25806,115,29,2,4
10108,115,26,6,2
60291,115,26,3,6
49521,115,26,2,28
70461,115,21,12,26
78401,115,21,1,3
53014,115,18,10,30
7443,115,15,5,6
71558,115,15,3,211
77234,115,14,3,8
89265,115,13,11,12
9591,115,13,9,3
91941,115,13,2,2
1993,115,13,2,1
27581,115,11,7,27
9704,115,10,10,8
48211,115,6,3,12
70569,115,6,2,14
48169,115,6,1,2
63216,115,4,1,7
45468,114,511,1,1
27700,114,463,9,351
24159,114,201,7,15
53671,114,197,1,9
53270,114,196,5,2
25022,114,139,2,32
56256,114,138,4,15
6296,114,122,5,427
46192,114,108,1,1
55691,114,97,5,6
16871,114,91,5,1
26328,114,89,3,19
53140,114,86,3,1
25957,114,71,71,2
13739,114,70,28,63
72459,114,69,3,9
50051,114,68,4,9
17031,114,68,1,1
30830,114,64,66,2
2628,114,63,66,2
21708,114,59,77,186
73169,114,58,2,4
41773,114,56,31,2
56742,114,56,5,7
20903,114,56,1,2
41930,114,55,32,2
41949,114,55,31,2
4428,114,54,8,19
3612,114,54,8,7
53870,114,53,1,16
7560,114,52,8,47
44721,114,49,14,10
70622,114,49,1,5
33101,114,48,8,4
26401,114,48,3,8
78448,114,46,1,2
97689,114,45,29,13
2430,114,45,14,32
70805,114,44,12,31
36961,114,44,1,4
78514,114,43,1,1
59687,114,42,2,1
73664,114,42,1,2
71006,114,41,1,3
67242,114,40,2,2
78903,114,39,2,9
29772,114,36,10,5
4725,114,33,14,32
25477,114,33,4,1
62471,114,32,8,10
414,114,31,14,11
81043,114,31,11,61
94302,114,28,1,4
11847,114,28,1,1
14531,114,26,2,1
75053,114,25,1,1
92360,114,24,1,24
67158,114,22,15,40
94,114,22,8,9
13069,114,20,7,20
41840,114,20,1,7
36632,114,17,2,15
76723,114,17,1,19
33729,114,17,1,1
15560,114,15,5,8
34762,114,12,5,3
102055,114,12,2,5
54964,114,10,17,804
27220,114,10,3,2
13909,114,8,2,31
24845,114,7,8,9
54924,114,7,1,4
47423,114,7,1,2
31541,114,2,2,1
72622,113,913,1,3
73865,113,615,5,20
1741,113,361,1,1
51481,113,183,19,21
53028,113,175,1,5
56710,113,155,7,54
54671,113,142,1,1
5742,113,131,1,2
29016,113,122,1,112
82843,113,107,3,147
73057,113,103,10,4
42467,113,97,1,1
14029,113,81,1,60
40890,113,78,7,3
3138,113,75,2,66
25277,113,67,67,2
3160,113,66,65,6
17173,113,65,68,2
21491,113,64,67,2
68337,113,64,6,62
6264,113,61,14,1
14351,113,59,2,2
73152,113,59,1,3
94331,113,55,3,37
41906,113,53,31,2
99081,113,49,5,1
30104,113,48,27,31
18817,113,48,13,6
57356,113,48,1,1
17819,113,47,4,63
75265,113,44,13,22
28342,113,44,3,5
40196,113,43,11,16
76558,113,43,2,13
53200,113,43,1,11
79974,113,42,9,63
34517,113,42,2,35
89274,113,41,2,3
76383,113,37,4,25
55594,113,37,1,4
59192,113,36,7,2
68472,113,29,2,5
34046,113,27,18,16
97259,113,27,1,10
70921,113,26,2,4
92197,113,24,2,12
100919,113,24,1,1
78398,113,23,4,5
59062,113,23,4,5
3204,113,23,1,1
62894,113,22,3,6
1274,113,19,9,7
89229,113,15,3,16
135,113,14,10,4
26074,113,14,6,1
84444,113,12,1,7
57773,113,12,1,1
70535,113,11,14,18
104750,113,11,10,22
8341,113,11,7,35
11229,113,11,2,5
97012,113,11,1,8
59033,113,10,5,17
26213,113,10,4,3
48051,113,7,4,3
31017,113,6,2,3
42515,113,3,1,30
37704,112,412,1,1
48887,112,193,10,49
140,112,171,37,9
41510,112,153,9,7
7121,112,134,63,70
16946,112,131,3,6
9689,112,129,6,12
1306,112,120,12,15
38559,112,116,1,3
17186,112,114,12,2
91956,112,96,1,47
103275,112,94,1,1
6313,112,85,2,9
57760,112,85,2,1
40397,112,83,6,19
108921,112,81,1,27
20316,112,79,9,18
16888,112,79,6,1
59904,112,78,1,5
29280,112,77,10,6
31294,112,74,1,1
65141,112,72,5,6
66865,112,72,1,21
94800,112,69,5,36
12492,112,69,3,5
12884,112,69,2,1
30142,112,68,64,2
9234,112,67,68,2
7363,112,65,66,2
26581,112,65,66,2
16891,112,64,66,2
20925,112,63,68,2
12869,112,63,8,21
20878,112,61,1,1
4754,112,60,7,28
29454,112,59,9,15
22135,112,57,10,10
33739,112,57,3,30
94609,112,57,3,5
88390,112,56,3,1
41890,112,55,33,2
41812,112,55,31,2
3991,112,54,5,7
16360,112,53,94,100
3011,112,52,42,55
107141,112,52,29,92
14450,112,50,2,11
56656,112,49,3,10
8255,112,48,13,26
89262,112,47,3,2
71570,112,47,1,1
16856,112,45,8,56
71257,112,43,13,20
71040,112,42,15,34
3119,112,42,5,15
35202,112,41,11,3
20733,112,41,3,8
73439,112,39,6,13
79764,112,39,4,40
71357,112,38,3,15
90721,112,37,1,3
110308,112,36,2,12
63446,112,36,1,2
71935,112,34,2,37
39481,112,33,5,6
38831,112,32,1,7
74554,112,28,1,1
79378,112,27,5,17
21044,112,25,4,21
70616,112,24,2,12
12612,112,23,18,39
44096,112,23,8,10
66733,112,23,3,1
39963,112,22,2,5
37822,112,21,2,4
105797,112,21,1,5
41019,112,20,1,3
23343,112,19,2,2
68139,112,18,8,16
23699,112,18,1,1
2304,112,15,3,1
100810,112,14,2,2
74410,112,13,3,8
73300,112,13,1,6
78328,112,13,1,6
34576,112,12,1,1
115675,112,11,11,17
73235,112,11,7,26
47758,112,11,4,3
64343,112,11,1,8
93924,112,10,4,10
50083,112,9,4,9
73030,112,9,3,6
21346,112,8,2,7
83108,112,7,1,2
59827,112,7,1,1
58355,112,5,4,1
31540,112,3,2,1
46804,111,472,3,1
73693,111,365,127,226
2331,111,327,27,51
15445,111,291,4,7
5605,111,257,2,1
50250,111,246,3,7
4977,111,231,8,2
96780,111,195,1,2
26523,111,167,8,6
94289,111,160,12,36
37275,111,157,10,16
56411,111,154,1,6
62589,111,151,23,65
3405,111,125,6,2
3532,111,119,8,4
42716,111,114,3,7
94545,111,114,1,9
54931,111,114,1,1
16429,111,109,11,15
40522,111,109,3,3
38084,111,103,6,6
34732,111,99,7,13
7218,111,89,6,8
39878,111,88,4,11
81725,111,87,2,2
22504,111,83,39,53
43941,111,81,82,95
96379,111,81,3,20
2567,111,79,9,18
29795,111,78,17,5
33905,111,66,68,2
15116,111,66,7,44
20508,111,65,65,3
72648,111,65,1,2
30841,111,64,61,2
28171,111,60,5,1
67668,111,59,2,24
50070,111,57,14,10
76816,111,57,2,4
41827,111,56,31,2
71863,111,54,2,23
42293,111,53,16,48
3890,111,53,3,5
67855,111,50,15,23
17544,111,50,6,27
55067,111,49,12,59
18078,111,47,1,3
88461,111,46,1,4
73208,111,45,13,23
18769,111,43,8,3
8100,111,42,7,6
71333,111,41,12,28
48328,111,41,2,13
68957,111,39,1,2
79485,111,38,10,41
25533,111,36,20,31
43944,111,34,5,18
65199,111,31,2,5
52527,111,30,1,2
27443,111,29,2,18
35148,111,27,2,2
75607,111,26,4,5
63357,111,26,3,6
46272,111,25,1,1
5439,111,21,1,3
36526,111,19,5,18
48947,111,18,2,2
40514,111,18,1,5
18151,111,16,11,39
27075,111,16,9,1
27335,111,15,10,28
15630,111,15,10,15
7962,111,11,4,2
97554,111,10,4,8
99487,111,9,4,7
42682,111,9,4,7
30885,111,8,1,1
96900,111,8,1,1
54794,111,7,1,2
52181,111,5,2,1
104604,111,4,1,2
13735,111,3,6,13
9328,110,396,42,109
62368,110,229,1,1
101761,110,226,6,13
52833,110,154,3,12
55572,110,149,1,4
17995,110,132,5,16
47325,110,119,12,13
48931,110,116,9,11
26864,110,113,6,86
58728,110,97,2,5
72736,110,86,2,2
60489,110,82,13,16
50041,110,82,8,5
47760,110,80,12,13
111849,110,79,10,31
40678,110,73,2,1
33495,110,70,71,2
95390,110,70,1,19
20927,110,66,64,3
13555,110,65,9,60
30833,110,64,66,2
102237,110,63,1,1
94706,110,61,11,16
73161,110,56,1,2
72716,110,55,2,13
41822,110,54,30,2
49792,110,51,11,26
22872,110,51,4,14
23672,110,51,2,1
49570,110,49,4,5
107509,110,48,32,42
17353,110,48,21,27
109533,110,47,1,22
107446,110,47,1,3
38117,110,46,2,3
28253,110,45,3,1
5354,110,42,1,1
106285,110,41,4,17
3914,110,40,2,3
34800,110,39,2,1
46476,110,38,1,7
93873,110,34,4,25
21024,110,32,5,22
58048,110,31,3,4
49072,110,31,3,4
17597,110,31,1,3
6564,110,29,5,28
112157,110,27,4,64
19321,110,25,11,18
55101,110,25,6,9
55406,110,24,8,24
12290,110,24,7,19
8020,110,24,5,1
17633,110,23,1,2
7695,110,20,35,21
2327,110,20,8,30
54588,110,19,4,18
96457,110,19,1,4
77686,110,17,6,115
27952,110,17,2,2
1519,110,16,3,2
90268,110,14,16,22
72843,110,14,2,10
66116,110,13,4,21
69567,110,13,1,1
15601,110,11,7,15
69668,110,11,3,5
12769,110,11,3,4
50081,110,10,4,7
36190,110,10,4,1
54766,110,8,1,3
83929,110,8,1,1
53423,110,7,5,8
35113,110,6,2,1
48518,110,5,2,4
91657,110,5,1,1
80129,110,4,10,4
73029,110,4,1,9
38826,110,3,1,4
25084,109,252,5,86
3028,109,224,13,15
21187,109,188,3,7
72739,109,187,22,51
72769,109,165,1,2
100587,109,153,1,4
16144,109,140,34,62
59124,109,134,17,23
79674,109,121,2,5
109820,109,120,4,469
70596,109,115,4,12
39108,109,114,8,19
87785,109,109,1,61
17971,109,108,11,10
5273,109,105,4,4
30433,109,102,1,52
85109,109,101,4,43
37783,109,96,3,4
17194,109,89,2,3
58823,109,85,3,7
41759,109,83,2,6
76258,109,83,1,50
49680,109,80,2,10
24625,109,79,28,12
78501,109,74,2,3
64397,109,72,7,9
94724,109,70,5,9
87401,109,70,4,2
8079,109,68,4,2
48857,109,68,1,2
25507,109,65,67,2
2504,109,64,63,2
103907,109,64,44,20
883,109,63,1,2
79742,109,60,20,12
23517,109,58,40,45
53622,109,56,32,2
41901,109,56,31,2
41844,109,56,30,2
41864,109,54,33,2
101965,109,54,2,40
15998,109,53,39,18
92429,109,53,10,31
100975,109,52,1,3
61388,109,51,21,12
24496,109,50,1,7
108044,109,49,27,74
68091,109,45,1,1
79403,109,43,1,2
69939,109,42,19,46
56770,109,42,4,72
18280,109,42,2,1
70239,109,40,2,15
52976,109,39,11,50
17709,109,38,17,13
65098,109,38,3,38
90162,109,38,2,2
46363,109,38,1,3
97104,109,35,1,7
39214,109,34,7,9
18927,109,34,5,4
18328,109,33,7,33
76538,109,33,3,35
46495,109,32,1,5
19037,109,31,18,30
12424,109,31,1,13
45682,109,28,4,7
46431,109,26,11,28
38967,109,26,3,23
2125,109,23,5,1
26797,109,21,4,24
39465,109,19,11,8
52183,109,17,1,1
46011,109,16,6,5
14069,109,14,5,10
75804,109,14,1,7
6854,109,10,8,6
62442,109,8,1,2
19067,109,6,3,3
106646,109,6,2,33
19049,109,6,2,3
57427,109,4,4,23
55785,109,3,2,10
1319,109,2,1,2
80109,109,2,1,1
11659,109,1,1,97
96972,109,1,1,31
18358,108,600,1,32
5958,108,488,3,6
399,108,271,33,20
47703,108,240,1,4
54505,108,216,18,22
4717,108,214,30,38
49259,108,191,3,14
53034,108,173,1,5
31355,108,147,2,3
90164,108,144,1,13
33648,108,142,1,13
87843,108,131,40,53
109853,108,124,4,438
31609,108,119,11,4
13855,108,118,4,4
100749,108,116,4,22
20313,108,110,2,2
38050,108,108,10,12
99784,108,107,21,4
82760,108,107,4,121
1381,108,101,2,5
29766,108,97,4,49
52612,108,93,1,1
31621,108,91,2,16
68172,108,83,7,1
1772,108,82,32,15
31708,108,72,1,1
2623,108,70,5,28
90585,108,69,10,6
3192,108,66,67,2
6953,108,66,64,2
56342,108,66,2,1
4718,108,65,69,2
31501,108,65,68,2
13286,108,65,66,2
48549,108,63,2,108
59837,108,58,2,3
41953,108,57,31,2
26633,108,57,8,31
53641,108,55,31,2
53228,108,55,31,2
41951,108,55,31,2
14885,108,55,16,13
41850,108,54,33,2
41891,108,54,32,2
41767,108,54,31,2
47281,108,52,1,6
28971,108,50,3,8
61836,108,49,2,5
46989,108,43,1,2
19218,108,40,18,37
103590,108,40,4,71
54291,108,36,3,10
28613,108,35,7,5
72323,108,34,2,2
24306,108,32,2,2
64321,108,31,7,11
109601,108,30,3,130
87228,108,30,2,13
19792,108,28,28,33
22776,108,27,6,6
92408,108,24,7,30
67215,108,24,1,28
108351,108,23,5,12
39795,108,23,4,13
82700,108,23,1,4
15085,108,21,4,8
17941,108,17,8,4
2138,108,17,3,2
56800,108,15,2,31
94200,108,15,1,15
96801,108,14,15,32
87971,108,13,13,18
6486,108,12,112,6
104612,108,12,3,18
9560,108,12,1,6
20837,108,11,5,6
80130,108,11,4,10
69684,108,10,1,12
30652,108,9,2,4
24682,108,8,6,12
7244,108,8,2,1
19079,108,6,2,5
54926,108,6,1,1
47291,108,4,1,17
27264,108,4,1,4
75791,108,4,1,3
1202,108,4,1,1
2816,108,1,13,6
38154,107,458,1,1
70568,107,354,2,11
12468,107,351,6,7
81767,107,273,1,92
1609,107,223,13,36
37749,107,188,3,7
107623,107,184,1,3
45052,107,157,15,58
79093,107,156,1,3
20109,107,154,3,9
30064,107,139,10,2
95108,107,123,22,18
103897,107,100,5,35
55260,107,97,1,64
57489,107,96,3,1
14550,107,92,3,14
76841,107,91,5,26
50114,107,90,2,2
2319,107,83,2,2
1269,107,82,18,36
95381,107,81,4,8
64788,107,81,1,1
32429,107,77,12,18
18023,107,77,5,174
83630,107,73,3,12
40802,107,68,3,4
11001,107,66,65,2
32570,107,64,68,2
29327,107,64,66,2
1885,107,64,44,24
63952,107,59,2,2
55444,107,58,2,5
41888,107,56,32,2
53636,107,56,32,2
53633,107,55,32,2
41905,107,55,31,2
53638,107,55,31,2
41855,107,54,33,2
47429,107,54,30,2
41954,107,53,33,2
71790,107,53,5,15
74040,107,53,4,15
74763,107,53,1,4
14253,107,51,1,1
80837,107,50,15,24
74954,107,47,2,8
62250,107,47,2,4
37154,107,46,1,5
80466,107,45,1,2
78221,107,41,1,2
30353,107,40,6,2
31004,107,39,2,5
16822,107,35,4,1
98750,107,35,3,2
73913,107,35,1,2
13958,107,34,6,9
15568,107,33,7,90
20051,107,31,1,7
42012,107,28,1,25
87051,107,26,2,8
48982,107,26,1,1
85321,107,26,1,1
19521,107,25,3,4
42812,107,23,4,2
30983,107,22,9,21
108976,107,21,4,4
115431,107,20,2,1
90568,107,19,3,15
17802,107,18,7,5
100684,107,18,3,3
27442,107,18,1,2
37529,107,16,6,5
48431,107,16,4,3
80472,107,16,2,3
40040,107,16,2,1
106219,107,16,1,8
91343,107,15,1,1
68589,107,14,5,7
56709,107,10,3,5
24937,107,10,1,2
53529,107,9,3,14
95270,107,8,2,8
27961,107,8,2,1
103883,107,8,1,9
38595,107,8,1,2
15685,107,7,6,8
23996,107,7,5,1
55520,107,7,3,1
89535,107,7,1,4
18855,107,6,2,1
18850,107,6,2,1
18869,107,6,2,1
49230,107,6,1,6
18905,107,6,1,1
22291,107,5,6,2
54922,107,5,1,5
53481,107,3,3,1
58357,107,3,1,5
76283,107,3,1,1
24978,107,2,4,1
27988,107,2,1,2
73640,106,815,3,16
3916,106,500,5,17
76606,106,475,3,5
67469,106,415,3,2
39264,106,323,1,1
32186,106,174,41,61
83997,106,165,2,8
48917,106,163,1,3
77666,106,158,2,3
50036,106,151,1,1
98459,106,144,3,5
46072,106,133,8,7
26878,106,130,11,34
18098,106,127,17,9
9671,106,122,9,18
72886,106,120,3,11
36842,106,117,17,17
2534,106,116,3,2
9041,106,110,2,2
82797,106,103,3,127
16665,106,86,9,1
67724,106,86,1,2
84938,106,84,1,18
2182,106,83,5,14
83523,106,83,3,82
95945,106,80,2,5
61288,106,79,90,93
27390,106,79,4,21
32190,106,78,7,33
101630,106,76,1,3
97283,106,69,15,54
61013,106,68,4,10
16733,106,67,2,4
5770,106,66,64,2
23429,106,65,66,3
63303,106,62,15,61
11733,106,62,3,2
77630,106,60,31,55
27173,106,60,5,11
53635,106,55,32,2
1130,106,54,8,2
41880,106,53,33,2
53620,106,53,32,2
41909,106,53,32,2
14123,106,50,4,2
28976,106,47,3,27
20486,106,46,2,1
43889,106,46,1,44
70364,106,44,8,20
98006,106,43,53,117
60322,106,43,13,56
46822,106,43,7,186
38499,106,42,17,18
44792,106,42,3,11
75333,106,41,11,23
79763,106,39,8,31
79541,106,38,9,47
113159,106,33,1,6
91856,106,32,2,11
64437,106,32,1,3
9477,106,31,9,14
105029,106,31,3,21
91777,106,31,3,4
108618,106,31,2,2
27994,106,28,15,87
52979,106,27,9,64
24997,106,27,7,17
71386,106,24,3,22
38409,106,22,1,5
31626,106,21,1,2
42383,106,20,13,12
12267,106,20,7,14
4224,106,20,4,7
48335,106,20,1,2
55631,106,19,7,34
112964,106,19,2,16
53246,106,18,7,7
38134,106,18,6,43
35593,106,18,5,14
98005,106,16,8,13
72718,106,16,4,8
596,106,15,4,1
102722,106,14,3,9
28394,106,14,2,2
15272,106,13,12,7
11215,106,13,1,6
9561,106,12,3,7
34722,106,11,10,16
25252,106,11,2,2
84357,106,11,1,2
94085,106,11,1,1
92920,106,10,7,4
34701,106,10,3,15
1757,106,9,11,4
74176,106,8,4,3
20826,106,8,3,1
12501,106,8,1,2
24836,106,7,9,9
25486,106,7,7,6
19118,106,6,2,3
91672,106,6,2,3
14364,106,6,2,3
23787,106,6,1,1
77173,106,5,6,5
54915,106,4,3,5
7718,105,422,9,16
53732,105,195,2,19
87381,105,194,3,5
22152,105,193,15,24
47707,105,173,1,5
4325,105,168,32,8
