profileid,follower_count,post_count,comment_count,mirror_count
82554,1945,121,4,3
39861,1943,31,4,1
34477,1901,119,2,2
88392,1892,42,9,9
50357,1890,530,78,171
34823,1881,166,4,30
74058,1881,79,2,1
104931,1878,80,1,4
53,1871,51,13,14
92703,1868,137,1,8
99612,1867,122,2,7
66674,1867,59,1,1
96628,1855,19,2,1
40022,1852,194,5,3
87679,1842,596,13,8
54180,1832,289,10,7
105048,1830,165,1,55
77026,1817,292,1,2
74067,1816,183,2,3
67402,1806,538,1,21
21870,1806,45,2,96
47118,1789,851,3,12
74575,1780,142,1,1
71271,1778,65,2,4
111109,1751,159,383,26
101580,1736,490,2,35
9713,1734,19,1,1
69069,1725,297,2,3
1011,1715,116,5,10
73308,1708,327,6,29
48973,1703,413,5,40
76687,1700,480,11,56
79277,1693,263,5,1
42200,1690,109,4,2
4262,1689,6,14,2
40817,1679,102,3,3
60405,1675,413,3,7
39181,1672,218,2,14
108036,1671,318,29,9
75725,1671,22,2,5
36267,1662,141,61,18
886,1660,13,2,2
2592,1659,16518,72,296
23516,1658,1496,8,21
40306,1657,46,5,27
72709,1650,403,4,1
89908,1642,664,49,5
25772,1642,503,51,191
45206,1642,25,1,5
1300,1627,464,32,12
11534,1626,355,4,7
20472,1619,393,28,17
40458,1613,342,2,3
40389,1611,293,19,59
34496,1611,25,1,1
56564,1599,98,1,11
12309,1591,39,14,1
27720,1566,88,5,12
49143,1559,61,13,18
3971,1553,5,2,2
67436,1549,432,16,11
3585,1549,19,3,8
73014,1544,228,2,3
88342,1543,90,2,12
50486,1543,36,2,13
83778,1541,294,20,55
31071,1533,36,9,3
17559,1530,58,8,3
61105,1527,6815,17,77
70631,1521,829,5,4
48962,1512,519,19,9
23546,1512,59,4,1
54596,1511,1528,25,7
32049,1511,3,7,1
54373,1509,269,5,2
94199,1502,624,38,74
76441,1502,259,7,2
48666,1500,315,2,7
13568,1487,92,1,1
54485,1487,63,1,22
3474,1486,13,17,6
38585,1480,636,4,4
67263,1480,365,49,141
25131,1475,75,4,5
9659,1472,333,5,2
48872,1470,41,1,1
14551,1466,405,10,4
85788,1461,302,4,18
14015,1461,63,2,16
25720,1459,74,4,3
247,1458,130,36,11
75794,1457,328,11,15
10482,1457,24,9,2
22911,1453,207,21,13
101324,1446,14,2,1
93398,1441,259,18,112
99005,1439,844,2,41
91844,1436,326,2,10
65744,1436,26,2,4
82444,1430,345,19,27
66616,1429,132,4,26
104455,1423,176,3,17
40269,1422,518,2,4
108459,1413,57,1,1
63530,1407,277,28,70
33860,1405,711,7,20
6499,1405,9,27,68
85196,1402,174,5,1
62042,1397,75,2,6
73086,1392,399,6,5
91553,1392,175,1,1
48048,1391,145,1,4
56122,1389,32,1,1
78966,1388,2466,1,3
48750,1386,146,3,8
41805,1380,102,4,4
3319,1380,37,1,7
91913,1375,60,2,4
98185,1368,325,38,52
5027,1367,267,20,53
71942,1366,82,2,58
84537,1355,1253,6,4
20426,1354,86,6,18
85460,1349,210,1,1
13843,1349,6,16,17
78655,1345,910,92,71
93529,1343,68,1,57
98504,1339,22,1,1
96443,1338,342,24,16
107521,1335,53,4,6
65849,1330,37,1,1
66390,1328,84,9,1
12474,1326,60,3,9
98929,1319,856,1,384
34646,1319,230,1,5
11448,1313,78,10,4
76131,1309,529,1,26
82907,1307,163,1,23
75397,1302,311,2,5
644,1302,84,12,6
3568,1302,9,1,2
112062,1299,396,17,18
4860,1298,186,22,39
30101,1297,176,7,23
1411,1291,40,2,5
82770,1288,229,13,5
28264,1288,63,9,58
60883,1285,633,1,6
14685,1285,189,14,12
44617,1284,113,69,336
82212,1280,259,1,1
35888,1278,103,7,59
76692,1273,1228,6,106
1831,1273,93,3,1
83409,1263,397,19,30
78286,1261,79,1,1
95951,1260,1852,1,1
35898,1260,921,13,34
84112,1260,174,8,9
26438,1257,52,15,29
107529,1253,57,3,2
87955,1252,29,10,219
30968,1248,409,2,35
48532,1248,70,18,34
72307,1246,112,6,5
87953,1245,212,2,201
3170,1243,321,20,22
1619,1243,12,1,1
95172,1241,254,10,10
67962,1240,381,1,11
73384,1240,237,4,219
73873,1239,329,3,12
50084,1239,44,3,7
111814,1238,226,9,11
438,1237,78,1,2
57662,1228,20,1,3
22545,1227,1254,25,51
87328,1227,152,3,21
98177,1225,283,23,40
4817,1225,23,7,6
62453,1224,73,1,11
14136,1218,43,4,13
60277,1216,1,2,5
39133,1214,495,1,1
3797,1212,103,27,2
51684,1212,64,9,26
112597,1204,62,12,3
75261,1203,263,15,11
95529,1202,532,32,55
67732,1200,636,2,4
32939,1199,171,2,46
102350,1197,133,5,13
70619,1195,629,12,2
31002,1195,153,15,33
64207,1195,92,1,7
44285,1192,81,36,30
1902,1192,73,1,2
99626,1187,330,8,60
34748,1187,217,9,14
111479,1187,138,18,1
91519,1185,125,2,21
39763,1183,157,33,41
46592,1180,44,7,10
5377,1177,95,6,1
49037,1176,560,4,2
38566,1175,27,9,20
104613,1173,46,1,4
25143,1171,8,2,1
2890,1170,9,3,10
100644,1166,622,4,89
75573,1165,273,4,21
72952,1164,534,1,1
4344,1163,548,51,35
37395,1162,58,5,6
57890,1157,97,1,16
96584,1157,27,4,12
53316,1154,311,3,2
31123,1154,151,6,44
422,1152,81,7,7
54251,1150,154,43,140
19587,1146,175,9,4
2205,1141,101,25,49
75142,1139,14,1,11
90013,1138,91,1,11
71801,1135,606,10,14
53110,1133,62,1,5
66767,1132,384,2,10
16063,1125,382,24,12
74098,1123,21,1,14
60829,1121,215,7,75
57257,1117,180,3,11
74121,1116,365,14,609
168,1116,12,6,1
30711,1115,1170,1,1
31205,1113,306,1,2
34753,1112,79,1,12
10483,1111,43,2,1
25681,1110,194,5,1
66002,1109,714,14,7
22645,1108,331,10,5
71258,1107,36,2,97
55905,1106,341,2,1
67835,1106,200,81,4
34501,1106,71,2,17
8845,1105,7,1,1
72891,1104,303,2,14
47761,1102,196,9,33
63527,1096,260,28,58
91113,1094,124,11,3
98685,1093,293,7,63
27255,1093,104,4,23
91268,1092,243,1,68
98879,1091,280,2,1
8008,1090,18,4,1
48132,1089,53,7,14
72182,1089,30,1,12
72773,1087,247,1,88
11234,1085,95,3,3
831,1084,113,69,58
10886,1083,512,20,137
66,1083,1,1,7
87776,1081,120,3,228
80219,1080,60,15,25
57918,1078,239,3,7
96489,1078,94,2,19
101551,1073,466,2,5
19096,1072,622,5,7
63535,1071,277,27,47
75824,1071,102,1,28
100070,1069,174,37,26
84198,1065,126,5,74
53527,1061,195,5,10
24551,1061,92,7,5
49275,1061,58,3,7
67675,1059,33,2,3
90546,1055,1332,6,48
58280,1054,146,2,65
40462,1054,16,5,24
86370,1053,152,14,13
3988,1053,44,3,11
46579,1048,56,22,7
53740,1045,241,3,11
71022,1044,52,2,239
61369,1040,405,5,10
48165,1040,277,12,59
23881,1040,91,8,3
14422,1040,36,6,79
84025,1038,267,22,61
54912,1038,118,4,82
34760,1038,54,4,19
24878,1037,97,1,3
59030,1036,451,23,4
41030,1036,96,1,1
1357,1033,48,5,6
60419,1031,100,80,19
4558,1027,117,2,87
73215,1024,204,1,2
93029,1023,235,6,101
77597,1021,178,4,47
6641,1020,104,4,41
80023,1018,190,22,36
55159,1016,212,4,12
55402,1016,113,1,3
73273,1015,328,34,72
85032,1014,780,1,15
102561,1013,307,2,1
71941,1013,164,2,1
6945,1011,254,27,42
71980,1011,84,2,1
14705,1009,317,80,126
6203,1009,159,12,70
9655,1009,46,13,15
41766,1008,127,2,32
74323,1008,58,15,14
102633,1007,109,1,18
115851,1007,16,1,1
58890,1006,89,6,9
39167,1005,228,1,1
49160,1005,3,12,5
39210,1004,28,2,25
33794,1003,1027,2,8
96292,1003,47,9,2
48684,1002,264,16,139
91100,1000,63,3,5
15271,999,65,3,5
100067,998,262,1,60
86372,997,141,15,12
79551,996,113,1,25
48836,992,24,1,5
90962,991,154,48,57
7792,990,508,14,16
14846,990,127,26,26
86347,989,183,22,36
111993,987,312,26,12
94429,987,199,16,21
74044,987,174,3,6
19116,987,75,15,3
17643,986,27,4,4
77341,985,96,1,18
97932,983,372,23,62
68707,981,27,1,4
48602,980,829,2,6
17480,980,678,19,21
10408,980,40,7,3
55352,978,148,3,4
9554,977,948,86,94
80893,977,269,17,56
125,976,8,1,8
39179,974,60,4,20
92931,973,258,26,55
1408,969,13,11,4
31327,968,495,8,3
3234,966,38,2,2
95570,965,1059,69,52
39198,965,311,8,64
104424,964,138,3,118
5054,962,303,7,72
54607,962,258,1,3
24447,962,244,4,25
6739,962,164,14,40
114101,962,109,6,163
64302,959,237,2,28
69565,959,173,3,63
104196,959,134,2,6
10467,959,18,12,4
2824,957,22,28,7
48069,956,262,5,2
70855,954,221,28,25
80222,953,347,1,8
33374,953,93,4,9
89577,952,281,1,84
64493,952,116,13,19
70325,951,109,60,26
39968,951,45,4,1
80912,950,400,9,6
11005,950,178,22,21
493,950,165,9,3
34770,950,107,3,8
788,950,97,11,8
1023,950,20,69,17
84721,949,208,12,20
53548,948,680,15,37
53569,948,384,16,41
63532,947,217,19,42
32003,947,120,7,10
13268,947,26,5,2
54840,945,67,9,33
65739,944,308,7,5
72834,942,277,1,23
19993,941,978,30,24
19789,941,100,1,3
75254,940,314,4,82
67709,940,191,2,17
22991,939,686,9,8
48694,939,98,4,13
71772,939,87,4,1
100833,939,27,1,2
88829,937,1206,5,7
11577,937,127,3,24
102889,937,62,5,10
16468,937,28,8,8
97765,936,304,17,21
98687,935,204,48,49
71829,935,97,20,57
64801,934,478,17,33
61029,933,691,2,2
66033,932,20,1,1
36601,931,60,9,9
85789,931,59,14,28
77614,930,167,1,67
2336,927,293,34,123
102082,927,198,3,5
34750,925,233,7,128
21171,925,137,15,25
34775,925,95,4,7
101725,923,109,2,3
24719,922,8,1,2
66030,921,302,4,49
65931,921,201,91,20
3014,921,133,6,4
46673,920,12,5,5
2383,917,52,9,7
55843,917,30,2,1
78380,915,226,2,1
40116,915,213,3,17
80123,914,258,16,50
97051,914,244,17,54
80357,914,65,4,4
12505,914,60,106,58
44650,913,79,1,1
48282,912,384,151,82
47879,911,212,9,129
86364,911,128,20,43
79647,910,406,11,39
85287,910,130,2,2
14447,909,116,2,1
98626,908,292,17,60
48719,906,112,2,19
48214,905,263,5,15
46084,905,49,19,15
61857,904,396,2,1
93677,903,27,1,2
43396,902,34,1,9
726,901,383,11,216
